region,category,store_id,age_group,gender,income_band,units_sold,revenue,high_margin
Scotland,Accessories,Online,25-34,Male,Low,3,44.18829299111484,1
North West,Tights,Online,18-24,Male,Low,1,12.169135336491516,1
South East,Socks,Store_B,25-34,Female,Low,2,15.89981204423605,1
South East,Accessories,Online,18-24,Male,Low,2,32.482329643658275,1
Wales,Tights,Store_A,25-34,Female,Low,2,27.128640979236643,1
Midlands,Legwear,Online,18-24,Male,Medium,2,20.09907760814493,1
North West,Tights,Store_B,18-24,Female,Medium,3,42.27993351993763,1
South East,Socks,Store_A,55+,Female,Medium,2,17.307255122458923,1
South East,Accessories,Store_A,18-24,Female,Medium,6,97.1114090143002,1
North West,Accessories,Store_B,35-44,Female,Low,5,78.3756416914139,1
London,Legwear,Online,55+,Male,Low,2,19.158307658344473,1
North West,Accessories,Online,55+,Male,Low,3,53.73016707071563,1
South East,Socks,Store_A,35-44,Female,High,4,34.76742333683599,1
Wales,Socks,Online,25-34,Male,High,5,41.45216060843029,1
Midlands,Socks,Store_B,45-54,Female,Low,5,47.0339073421848,1
South East,Tights,Online,55+,Female,Medium,1,12.393454391788762,1
South East,Accessories,Online,25-34,Female,High,3,42.820125614080176,1
London,Accessories,Store_A,45-54,Female,Medium,3,42.40894378831514,1
Wales,Legwear,Store_A,35-44,Female,Medium,2,21.403023013668815,1
Midlands,Socks,Store_A,18-24,Female,Low,2,14.725653535445907,1
Scotland,Accessories,Online,55+,Male,Low,1,17.205653022393193,1
Midlands,Accessories,Store_A,25-34,Male,Medium,1,13.51285426267732,1
London,Legwear,Online,45-54,Male,High,1,11.436902550447208,1
Wales,Tights,Store_B,18-24,Female,Medium,2,27.204464076564115,1
London,Tights,Online,18-24,Male,Medium,1,11.838069246784302,1
North West,Accessories,Online,35-44,Male,Low,1,15.02901835400393,1
Midlands,Legwear,Store_B,45-54,Female,Low,1,9.141908598010565,1
Wales,Accessories,Store_A,35-44,Female,High,1,13.756421040797036,1
Midlands,Tights,Online,25-34,Female,Medium,1,13.52089036539337,1
London,Legwear,Online,45-54,Female,Low,4,45.684942970028885,1
North West,Accessories,Online,18-24,Male,Low,3,50.25676253052064,1
South East,Accessories,Online,25-34,Male,Medium,4,60.74126311785387,1
Wales,Accessories,Store_B,35-44,Male,Low,6,102.15438095649644,1
Scotland,Socks,Online,55+,Female,High,1,9.472101736126369,1
North West,Accessories,Store_A,35-44,Other,Medium,4,68.22361483269407,1
Wales,Legwear,Store_B,18-24,Female,High,1,11.905670214914014,1
London,Legwear,Online,45-54,Female,High,1,10.273112435284999,1
Scotland,Tights,Online,25-34,Male,Medium,1,14.029512681668958,1
North West,Tights,Store_B,18-24,Female,Medium,1,14.027605968179738,1
Wales,Tights,Online,18-24,Female,Low,1,11.816840443889577,1
North West,Accessories,Store_B,55+,Male,Low,2,35.726731371011766,1
South East,Legwear,Store_B,55+,Male,Medium,3,32.01485319613844,1
Scotland,Tights,Store_A,55+,Female,High,3,33.32020785362751,1
Wales,Legwear,Store_A,18-24,Male,Medium,4,46.53002605369002,1
Midlands,Tights,Online,25-34,Male,Low,3,35.99301374898796,1
South East,Legwear,Store_A,55+,Male,Low,2,20.0210150693594,1
Wales,Accessories,Online,55+,Male,Medium,2,30.36850791531169,1
North West,Accessories,Store_A,45-54,Female,High,1,16.16103284992506,1
Midlands,Tights,Online,18-24,Female,Low,1,11.44408990936685,1
Midlands,Legwear,Online,18-24,Male,Low,4,44.285228334538644,1
Midlands,Accessories,Online,45-54,Female,Medium,1,14.887578330630696,1
South East,Accessories,Store_A,35-44,Male,Low,2,33.82225440565877,1
South East,Tights,Online,18-24,Male,High,2,25.705088006412126,1
Midlands,Accessories,Store_B,25-34,Female,Medium,7,100.57074458635203,1
South East,Socks,Store_B,45-54,Male,Medium,2,15.426263322698025,1
Wales,Accessories,Store_A,45-54,Male,Medium,2,31.160107555636017,1
Scotland,Socks,Store_A,45-54,Male,Medium,2,16.762160429718392,1
North West,Socks,Online,55+,Female,Low,4,34.78966945599159,1
London,Accessories,Store_A,18-24,Female,Low,2,33.187056296400065,1
South East,Socks,Store_B,25-34,Male,Low,1,8.906246908684677,1
North West,Accessories,Online,35-44,Male,High,4,65.06819728028708,1
South East,Legwear,Store_A,25-34,Female,High,4,45.65548266834518,1
South East,Legwear,Store_A,55+,Male,High,2,20.415790104664087,1
North West,Socks,Online,55+,Male,Medium,4,31.065057824652783,1
Scotland,Accessories,Online,45-54,Male,Medium,1,17.007909383669823,1
North West,Accessories,Online,25-34,Female,High,1,17.293465595461477,1
South East,Accessories,Online,55+,Male,Medium,6,93.03986569685519,1
South East,Socks,Online,35-44,Female,High,1,7.966117108988235,1
South East,Tights,Store_A,35-44,Female,Medium,1,11.218445929718353,1
Scotland,Tights,Online,25-34,Male,Low,2,26.792455621212962,1
Scotland,Socks,Store_B,55+,Female,Medium,2,17.53215314984091,1
North West,Accessories,Online,18-24,Male,Medium,6,99.38895455964396,1
London,Legwear,Online,55+,Female,Medium,3,29.10713076826721,1
Scotland,Socks,Store_B,18-24,Female,Low,5,36.22680872797701,1
South East,Legwear,Store_B,45-54,Male,Low,2,23.876676747187894,1
Scotland,Socks,Store_B,18-24,Female,Medium,1,7.609432463900993,1
South East,Socks,Store_A,35-44,Male,Medium,1,7.609366456524635,1
London,Socks,Online,18-24,Male,Low,1,8.691264806659579,1
South East,Tights,Store_A,35-44,Female,Low,2,23.685398855941727,1
Scotland,Socks,Online,35-44,Male,Medium,3,24.799434824123814,1
Scotland,Tights,Store_B,35-44,Male,Low,1,10.932903515078435,1
Scotland,Socks,Online,35-44,Female,Low,1,8.129404835629638,1
Midlands,Accessories,Online,35-44,Female,Medium,2,34.27419894373338,1
South East,Accessories,Store_A,18-24,Male,High,2,30.074922242884625,1
London,Tights,Store_B,35-44,Male,Low,1,11.645619862061482,1
Midlands,Tights,Online,25-34,Female,High,1,12.818928971377261,1
South East,Accessories,Store_A,25-34,Female,Medium,1,14.0406188362797,1
South East,Legwear,Online,18-24,Female,Low,4,37.074421165474064,1
South East,Tights,Store_A,18-24,Female,High,1,13.743027667460092,1
Scotland,Socks,Store_A,18-24,Male,Low,1,9.428818575345796,1
London,Tights,Store_B,18-24,Female,Low,1,12.510100442743477,1
Midlands,Socks,Store_B,45-54,Male,High,1,9.550470528454305,1
South East,Socks,Store_A,35-44,Male,Medium,2,16.733627069417622,1
North West,Legwear,Store_A,18-24,Female,Medium,2,23.872187308746177,1
Midlands,Accessories,Online,55+,Female,Medium,3,42.318040629768504,1
Midlands,Tights,Online,55+,Female,Medium,3,34.75669915978996,1
Midlands,Tights,Online,35-44,Male,Low,1,14.279782811974151,1
London,Accessories,Store_B,18-24,Female,Low,4,69.84238027894037,1
Wales,Tights,Online,25-34,Female,Low,3,42.8656378796728,1
North West,Tights,Online,25-34,Male,Medium,1,11.254699369586211,1
Wales,Tights,Online,45-54,Male,Medium,5,57.08095874564951,1
South East,Tights,Online,18-24,Male,Low,1,11.7311531932454,1
Scotland,Legwear,Online,25-34,Male,Low,1,11.564306307660623,1
Wales,Accessories,Online,45-54,Female,Low,2,35.23621281946589,1
Midlands,Legwear,Online,55+,Female,Medium,1,11.462804720696592,1
South East,Tights,Store_A,25-34,Male,Medium,1,11.501318518451733,1
South East,Socks,Store_B,45-54,Male,Low,2,17.415310740851346,1
North West,Accessories,Store_A,25-34,Female,High,1,17.023499271981887,1
North West,Tights,Store_A,25-34,Female,Low,2,25.212841902505502,1
Scotland,Legwear,Online,25-34,Male,High,2,20.020738846622947,1
Midlands,Legwear,Online,25-34,Male,High,1,10.069221286656553,1
South East,Tights,Online,18-24,Other,Medium,4,55.47524641714071,1
Scotland,Legwear,Online,55+,Other,Medium,1,10.942344667102573,1
North West,Accessories,Store_A,45-54,Male,Low,1,15.964356519470766,1
Midlands,Legwear,Store_A,18-24,Female,Medium,1,11.583463848379761,1
Midlands,Legwear,Store_A,45-54,Male,Low,6,67.8994011989747,1
Scotland,Tights,Online,55+,Male,High,3,34.09562604266287,1
Wales,Legwear,Online,18-24,Female,Low,1,9.698469761633339,1
Scotland,Tights,Online,18-24,Female,High,3,37.240190938077056,1
Midlands,Legwear,Store_B,35-44,Female,Medium,1,11.611633172703987,1
North West,Socks,Online,45-54,Female,Low,1,8.346511567627514,1
London,Socks,Online,18-24,Male,Low,1,7.299327208778366,1
London,Legwear,Online,18-24,Male,Low,1,10.896720551118289,1
Midlands,Accessories,Online,55+,Female,Low,1,15.84136271478073,1
Midlands,Socks,Store_A,45-54,Male,Medium,2,14.506751739878881,1
Wales,Tights,Store_A,55+,Male,Low,2,27.902735841017424,1
South East,Tights,Online,35-44,Male,Low,1,11.277113024589225,1
Midlands,Accessories,Online,25-34,Male,Medium,1,14.838582498489355,1
London,Socks,Online,18-24,Male,Low,3,21.753814774298128,1
Wales,Legwear,Store_A,35-44,Male,Low,1,9.046017838254791,1
Wales,Socks,Online,35-44,Female,High,3,24.314763549966592,1
South East,Tights,Store_A,45-54,Female,High,3,37.69074005578726,1
North West,Legwear,Store_A,35-44,Female,Low,2,21.25956521595528,1
Scotland,Accessories,Store_A,45-54,Male,Low,7,97.1072088059395,1
Wales,Socks,Online,25-34,Male,Medium,1,8.778242745420355,1
Midlands,Tights,Online,18-24,Male,Low,1,11.869140846437904,1
Scotland,Socks,Online,18-24,Male,Low,2,18.8770404672412,1
Wales,Legwear,Store_A,25-34,Male,High,1,11.061272591588132,1
London,Legwear,Store_A,55+,Female,Medium,4,41.92583754830441,1
Scotland,Socks,Store_A,45-54,Male,Medium,4,35.49235725554035,1
Scotland,Tights,Store_A,35-44,Female,Medium,1,11.797116717462664,1
South East,Socks,Store_A,45-54,Female,Medium,4,30.829033064245603,1
South East,Legwear,Online,55+,Female,Medium,5,54.78927897295881,1
Wales,Tights,Online,35-44,Male,Medium,4,45.391715244409816,1
South East,Legwear,Online,45-54,Male,High,1,9.198077782558343,1
North West,Accessories,Online,18-24,Female,Low,1,14.492158179155034,1
Wales,Tights,Store_B,25-34,Male,Medium,2,23.89271686140196,1
Scotland,Legwear,Online,55+,Female,Medium,2,18.992506720816312,1
Wales,Accessories,Online,55+,Female,Low,2,28.5466799935237,1
South East,Tights,Store_B,18-24,Female,Low,3,35.476398750571825,1
Scotland,Legwear,Store_A,18-24,Male,Medium,2,22.70166441356021,1
South East,Tights,Online,55+,Female,Medium,1,13.278704591048243,1
South East,Socks,Online,18-24,Male,Low,5,45.97950426923446,1
North West,Legwear,Store_B,45-54,Female,Medium,2,23.35231291991296,1
London,Accessories,Online,25-34,Male,Low,1,17.04627200683309,1
North West,Accessories,Online,18-24,Male,Medium,5,86.85817708342017,1
London,Socks,Online,25-34,Other,Low,1,8.558773876333552,1
North West,Socks,Online,25-34,Male,Low,1,8.342443290921858,1
North West,Accessories,Store_B,55+,Male,Low,5,87.35048551280128,1
South East,Accessories,Store_A,35-44,Male,Low,3,47.08888527678156,1
Scotland,Legwear,Store_A,35-44,Female,Low,1,11.831696429844493,1
North West,Tights,Online,45-54,Male,Medium,3,33.40812086435226,1
London,Socks,Online,45-54,Female,Medium,3,27.494820990258944,1
Midlands,Socks,Store_A,35-44,Female,High,1,7.660697163443438,1
London,Accessories,Online,18-24,Female,Medium,1,15.900301442927308,1
London,Accessories,Online,55+,Male,Medium,2,27.22644440897618,1
Scotland,Socks,Online,45-54,Female,Medium,1,8.462696668269064,1
Midlands,Socks,Store_A,25-34,Male,Low,2,17.24510703039945,1
South East,Tights,Store_B,45-54,Male,Low,2,23.353876483611934,1
Scotland,Accessories,Store_A,45-54,Female,Medium,2,35.228446660168686,1
Midlands,Tights,Online,35-44,Female,Low,1,12.318033610309863,1
Scotland,Socks,Online,35-44,Female,Low,1,8.961570801826525,1
London,Socks,Online,35-44,Male,Medium,1,8.666049631396685,1
London,Accessories,Online,18-24,Male,Low,1,16.30754671069869,1
Scotland,Tights,Online,45-54,Male,Low,1,13.118051013968888,1
London,Accessories,Store_A,25-34,Female,Medium,4,63.61993574588948,1
North West,Legwear,Store_A,25-34,Male,High,1,9.35035512402041,1
Midlands,Accessories,Store_A,55+,Male,High,2,35.870415010207815,1
Scotland,Accessories,Store_A,35-44,Female,Medium,1,14.567099204047812,1
Scotland,Legwear,Online,55+,Female,Medium,3,31.4703313412207,1
Scotland,Tights,Store_B,35-44,Female,Low,2,22.811562456905726,1
London,Socks,Store_A,55+,Female,High,2,15.651651742886454,1
London,Accessories,Online,35-44,Male,Medium,4,59.580249302717604,1
London,Socks,Store_A,45-54,Male,Medium,1,8.536981991002293,1
South East,Legwear,Online,55+,Other,Low,3,35.3781115162408,1
Wales,Socks,Store_B,45-54,Other,Low,2,14.698771039175535,1
Wales,Socks,Online,25-34,Female,Low,1,8.601167203072267,1
Wales,Tights,Store_B,18-24,Male,Low,2,27.330088016691995,1
Wales,Accessories,Online,45-54,Female,Medium,2,30.750786493439506,1
South East,Socks,Online,18-24,Female,Medium,3,24.51729056160906,1
North West,Legwear,Store_B,55+,Male,High,3,34.85131674976666,1
North West,Legwear,Online,25-34,Female,Low,2,22.669640963985692,1
Scotland,Tights,Store_B,55+,Male,Low,1,14.010780565855056,1
London,Legwear,Online,45-54,Male,Low,2,20.173735665852156,1
Midlands,Accessories,Online,45-54,Female,Medium,4,54.01587108434617,1
Wales,Accessories,Online,25-34,Other,Medium,7,106.5975182319076,1
Scotland,Tights,Online,45-54,Male,Low,1,10.844536258320955,1
Wales,Legwear,Store_A,18-24,Male,Medium,1,11.759436144630717,1
South East,Socks,Online,25-34,Female,Medium,2,16.54416882213216,1
North West,Legwear,Online,18-24,Male,Low,2,20.05604236330243,1
Midlands,Legwear,Store_B,35-44,Male,Medium,1,11.51427298105501,1
Scotland,Legwear,Online,25-34,Female,Low,2,18.601330108011908,1
Midlands,Accessories,Store_A,55+,Other,Low,2,35.394307350010465,1
Midlands,Legwear,Store_A,45-54,Male,Medium,1,11.894968932522719,1
London,Accessories,Store_B,55+,Other,Low,1,15.306650921740314,1
London,Tights,Store_A,45-54,Female,Low,1,13.532791478761093,1
London,Accessories,Online,35-44,Male,Low,1,14.640119877075904,1
South East,Accessories,Store_B,25-34,Female,Medium,4,65.84678433274892,1
Wales,Legwear,Store_A,25-34,Female,Low,3,29.04073043707055,1
Midlands,Tights,Store_A,25-34,Other,Medium,1,12.513538780154136,1
Scotland,Socks,Store_B,25-34,Female,Low,1,8.692225316322633,1
South East,Accessories,Store_A,35-44,Other,Low,3,46.136582180541446,1
South East,Accessories,Store_B,55+,Male,Medium,1,15.148232455878853,1
Scotland,Socks,Online,45-54,Female,Low,6,55.045983557117914,1
North West,Tights,Store_A,25-34,Male,Low,2,26.839139237080524,1
London,Tights,Store_B,18-24,Male,Medium,6,86.39545043115206,1
London,Tights,Store_A,45-54,Female,Low,1,14.282834834582196,1
Scotland,Tights,Store_A,25-34,Male,High,2,23.370387480593177,1
North West,Accessories,Store_B,25-34,Male,Medium,5,85.37558955156013,1
London,Accessories,Store_B,25-34,Male,Medium,2,32.99334696570763,1
Wales,Tights,Store_B,35-44,Male,Medium,2,27.89387055315212,1
London,Legwear,Store_A,35-44,Male,Low,3,35.88280352719158,1
North West,Socks,Online,25-34,Male,Low,4,33.97012080630164,1
Scotland,Legwear,Store_A,25-34,Female,High,3,35.27285970506955,1
London,Tights,Store_B,35-44,Male,Medium,4,56.48901219573419,1
North West,Tights,Online,18-24,Female,Medium,1,11.97958597662614,1
North West,Accessories,Store_A,35-44,Female,Low,3,50.85259319682309,1
North West,Legwear,Online,55+,Female,Medium,1,9.032484901982377,1
South East,Accessories,Online,18-24,Female,High,4,68.59993343424637,1
London,Legwear,Store_B,18-24,Male,Medium,2,22.857762121776616,1
London,Legwear,Store_B,35-44,Female,Medium,2,20.16142313287101,1
London,Legwear,Online,35-44,Male,Medium,1,10.558862813688975,1
North West,Legwear,Store_B,45-54,Female,High,2,19.04869765478583,1
Wales,Legwear,Store_B,55+,Male,Medium,7,81.47646141851968,1
Wales,Socks,Online,18-24,Female,High,1,8.586872458778382,1
Midlands,Legwear,Online,18-24,Male,High,1,9.2733967542579,1
North West,Tights,Store_A,45-54,Female,Low,1,11.435677925633943,1
Midlands,Tights,Online,35-44,Male,Medium,4,47.06489456657769,1
Wales,Tights,Online,55+,Male,Low,3,42.17067152689359,1
South East,Tights,Store_A,25-34,Female,High,2,23.16547688299797,1
South East,Tights,Store_B,35-44,Male,Low,1,12.018296487942393,1
South East,Accessories,Store_A,18-24,Female,Medium,3,53.7518110353761,1
Wales,Tights,Store_A,55+,Female,High,1,11.758806627804173,1
Scotland,Accessories,Online,25-34,Male,Medium,3,43.017127937699236,1
North West,Tights,Store_A,25-34,Male,Medium,2,28.37204126980298,1
North West,Tights,Online,55+,Female,Medium,1,13.266439099741907,1
South East,Socks,Store_A,25-34,Female,Medium,3,27.799894742093755,1
North West,Legwear,Store_B,25-34,Female,Low,4,36.94003465496726,1
South East,Accessories,Online,55+,Other,Medium,2,30.164904502606614,1
North West,Legwear,Store_A,55+,Male,Medium,1,11.078145428082895,1
Wales,Tights,Online,35-44,Male,High,3,36.02880601784217,1
Midlands,Socks,Store_B,18-24,Male,Low,1,8.375198641708936,1
Wales,Accessories,Store_A,35-44,Female,Medium,1,16.296451355365374,1
London,Tights,Store_B,45-54,Female,Low,1,13.223733506088397,1
London,Legwear,Store_A,18-24,Male,High,4,38.06486440239926,1
North West,Legwear,Store_A,18-24,Female,Low,4,46.431373420382094,1
Scotland,Legwear,Store_B,35-44,Male,Medium,1,10.595518183861497,1
North West,Accessories,Store_A,45-54,Female,Medium,1,14.677535817464177,1
London,Accessories,Online,25-34,Male,High,1,15.517310598921888,1
Scotland,Accessories,Online,45-54,Male,Low,2,32.9145924226047,1
Wales,Legwear,Store_A,18-24,Male,Medium,3,33.50962911458202,1
South East,Accessories,Store_B,55+,Male,Low,1,15.829825214223764,1
Midlands,Legwear,Store_A,55+,Male,High,1,10.756938981271391,1
North West,Tights,Online,18-24,Male,Low,3,42.5040779560554,1
London,Legwear,Store_B,18-24,Male,Low,1,10.159617876415044,1
Scotland,Tights,Store_B,25-34,Male,Medium,2,27.341598221720854,1
Scotland,Legwear,Online,45-54,Female,Low,1,9.472942988843482,1
North West,Socks,Online,25-34,Male,High,1,7.734827248286298,1
South East,Legwear,Online,45-54,Male,Low,1,10.884027536747158,1
North West,Tights,Store_A,45-54,Male,Medium,1,10.90013758415184,1
Scotland,Accessories,Store_A,55+,Male,High,2,27.316756352926483,1
Midlands,Tights,Online,25-34,Male,Low,2,22.35206487395076,1
Midlands,Tights,Store_B,25-34,Male,High,2,22.57584065300356,1
South East,Accessories,Store_B,35-44,Female,Low,2,29.830143635763932,1
Wales,Legwear,Store_B,45-54,Male,Medium,2,19.706637485003014,1
Wales,Accessories,Store_B,25-34,Male,Medium,4,68.4507636961462,1
South East,Legwear,Store_A,45-54,Female,Medium,1,9.422367954441613,1
Midlands,Tights,Online,55+,Male,High,3,36.08722429108838,1
Scotland,Tights,Online,55+,Female,Medium,3,39.12543266463335,1
North West,Tights,Online,35-44,Female,Medium,1,11.324977863104909,1
Midlands,Accessories,Store_B,18-24,Male,Low,2,28.9303556208329,1
Midlands,Legwear,Store_B,18-24,Male,Low,1,11.51213408839568,1
Wales,Socks,Store_A,25-34,Male,Low,3,25.624599846658967,1
Scotland,Accessories,Store_A,35-44,Male,Low,1,15.556695538743945,1
South East,Legwear,Store_A,45-54,Male,Medium,2,20.468796397505113,1
London,Socks,Online,25-34,Male,Low,2,16.226772614094166,1
Scotland,Socks,Store_A,45-54,Male,Low,2,18.78273534002781,1
North West,Accessories,Store_B,35-44,Female,Low,2,29.149398928167276,1
London,Legwear,Online,55+,Female,Medium,1,10.915516577685803,1
Wales,Accessories,Store_A,25-34,Female,High,3,46.084654531261855,1
London,Legwear,Online,45-54,Female,Low,2,20.154511623552132,1
South East,Socks,Store_B,35-44,Female,Low,1,8.294905810278253,1
South East,Socks,Online,25-34,Male,Medium,4,37.738292851705545,1
South East,Legwear,Store_A,18-24,Male,Medium,1,10.474347693307864,1
North West,Legwear,Store_A,35-44,Female,Low,2,19.22931961536852,1
Wales,Tights,Online,45-54,Female,Medium,2,27.771617983028577,1
South East,Tights,Online,45-54,Male,Low,3,34.69358766383269,1
North West,Tights,Online,18-24,Female,Low,3,37.79833098728381,1
London,Tights,Store_A,35-44,Male,Medium,2,25.736709686761643,1
Scotland,Socks,Store_A,45-54,Female,Low,2,17.1094273330328,1
South East,Tights,Store_B,35-44,Female,Low,1,11.811542188618166,1
Wales,Legwear,Online,55+,Female,Medium,1,10.891473816561788,1
Wales,Accessories,Online,55+,Male,Medium,1,14.031090339535222,1
Midlands,Legwear,Store_B,45-54,Male,Low,5,46.33189661125364,1
North West,Socks,Store_B,55+,Female,Medium,1,9.356267387979127,1
Wales,Accessories,Online,55+,Female,Medium,3,40.50007474512246,1
North West,Socks,Store_B,18-24,Male,Low,3,22.465025556160285,1
North West,Tights,Store_A,35-44,Female,Medium,1,12.073355759948488,1
London,Tights,Online,35-44,Male,Medium,4,55.99429828642087,1
London,Tights,Online,55+,Male,Medium,4,43.85680533761068,1
North West,Accessories,Store_B,35-44,Female,Medium,1,15.105607785599858,1
Scotland,Tights,Store_A,55+,Female,Medium,2,22.350620633217225,1
Wales,Tights,Online,25-34,Female,Low,1,12.015238090388301,1
South East,Tights,Store_B,45-54,Female,Medium,1,13.446513127249645,1
South East,Tights,Store_A,45-54,Female,Low,5,54.12230869318457,1
Wales,Tights,Online,25-34,Female,Low,2,27.535589890919162,1
Wales,Accessories,Online,55+,Female,Low,3,43.268637032995116,1
Scotland,Tights,Store_B,25-34,Male,Low,5,66.86332720535411,1
South East,Tights,Online,18-24,Male,Low,2,24.516154769958938,1
North West,Tights,Store_B,35-44,Male,High,4,46.431394784519,1
London,Tights,Online,55+,Female,High,3,39.86629013413005,1
London,Tights,Store_A,25-34,Female,Medium,2,26.596278586710895,1
Scotland,Legwear,Store_B,18-24,Female,Medium,2,20.664124081537345,1
Scotland,Socks,Online,18-24,Male,Medium,2,15.371214006640638,1
Midlands,Tights,Online,55+,Male,Low,2,26.762045366280354,1
Midlands,Accessories,Online,25-34,Male,Medium,1,13.86756929816817,1
Midlands,Tights,Store_B,55+,Female,Medium,1,11.018374696179642,1
North West,Socks,Store_B,25-34,Male,Medium,1,7.869539889101933,1
North West,Tights,Online,25-34,Female,Medium,4,44.121063917432906,1
Wales,Tights,Store_A,25-34,Female,Medium,1,12.245715307689556,1
Midlands,Tights,Online,35-44,Female,Medium,3,42.92805313920054,1
South East,Tights,Online,55+,Male,High,2,23.066816833016162,1
Scotland,Accessories,Store_A,35-44,Male,High,5,67.8332730022513,1
South East,Legwear,Online,45-54,Female,Medium,1,9.194598380104145,1
Scotland,Socks,Store_A,55+,Male,Low,6,54.30149333977937,1
South East,Tights,Online,55+,Male,High,1,12.366791952758899,1
Scotland,Tights,Online,18-24,Male,Low,3,39.73703896273804,1
North West,Socks,Store_B,45-54,Female,Low,1,8.16029518240912,1
North West,Accessories,Store_A,55+,Female,Low,2,29.532393546413783,1
London,Tights,Online,55+,Female,Low,1,11.340013898618901,1
South East,Socks,Store_A,25-34,Male,Medium,1,7.704504945496558,1
London,Tights,Store_A,18-24,Female,Medium,3,40.70473495927223,1
North West,Accessories,Online,55+,Male,Low,1,16.844989631920303,1
Scotland,Accessories,Store_B,35-44,Male,High,1,16.296539205727026,1
South East,Socks,Online,25-34,Male,Medium,2,15.008642605698595,1
London,Tights,Online,35-44,Female,High,3,37.1620274687602,1
London,Tights,Online,55+,Male,Low,4,51.75603873147489,1
North West,Socks,Online,55+,Male,Medium,2,16.88009114897813,1
London,Legwear,Online,25-34,Female,Medium,1,10.297763270730773,1
Midlands,Socks,Store_A,45-54,Male,Low,2,18.0508070638856,1
Scotland,Legwear,Online,25-34,Male,High,1,10.738789376239023,1
London,Socks,Store_B,18-24,Female,Low,3,22.511446675239853,1
Midlands,Accessories,Store_B,35-44,Male,Low,3,50.55766896816332,1
Scotland,Tights,Store_A,25-34,Male,Medium,3,33.52229750093874,1
Midlands,Tights,Online,18-24,Male,Low,2,23.17652729991289,1
Midlands,Socks,Store_A,45-54,Male,Low,4,38.192490858803744,1
South East,Socks,Store_B,55+,Female,High,1,7.3190974420307215,1
London,Socks,Online,18-24,Female,High,2,19.042903787252047,1
Wales,Accessories,Online,45-54,Male,Medium,1,15.769757624645809,1
Scotland,Socks,Store_A,55+,Male,High,3,22.54919881021185,1
Midlands,Socks,Online,25-34,Female,Low,1,7.638041015630239,1
Midlands,Tights,Online,18-24,Male,High,1,12.738085764482792,1
South East,Legwear,Store_A,55+,Female,Medium,1,10.66661864037165,1
Midlands,Tights,Store_B,35-44,Male,Medium,3,40.92970046655416,1
North West,Tights,Online,55+,Male,Low,5,59.46935667974895,1
North West,Accessories,Store_B,45-54,Male,High,2,27.24487545428667,1
South East,Accessories,Online,55+,Male,Medium,3,48.31792291295103,1
London,Socks,Store_A,55+,Female,Medium,6,55.41087912823953,1
